vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,1,2,1,9,1,3,0
car,SB,R,1,2,6,0,3,1,0
car,SB,T,50,74,56,57,63,61,32
car,SB,L,2,2,3,6,5,3,0
car,WB,Peds,0,0,1,3,1,2,0
car,WB,R,3,4,8,7,7,12,4
car,WB,T,29,54,56,54,38,42,10
car,WB,L,26,50,54,30,44,56,29
car,NB,Peds,4,5,6,5,2,2,1
car,NB,R,1,2,6,1,4,4,0
car,NB,T,63,97,97,91,103,95,26
car,NB,L,9,20,22,19,11,17,8
car,EB,Peds,1,5,1,1,0,0,0
car,EB,R,1,7,1,2,6,4,0
car,EB,T,25,40,46,36,48,51,25
car,EB,L,0,2,2,2,0,2,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,1,0,0,0
truck,SB,T,2,5,2,4,1,2,0
truck,SB,L,0,0,0,0,0,1,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,1,1,0,0,0
truck,WB,T,2,5,4,7,8,4,3
truck,WB,L,1,1,2,1,1,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,1,0,0,0,0,0
truck,NB,T,2,5,3,2,1,2,0
truck,NB,L,2,2,2,0,2,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,4,5,13,7,4,5,0
truck,EB,L,0,0,0,0,0,1,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,2,0,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,1,0,0,1,3,2,1
bicycle,WB,L,0,0,0,1,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0
bicycle,NB,T,0,1,0,1,0,1,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,2,1,0,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0
