vehicleType,heading,dir,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45
car,SB,Peds,6,2,5,0
car,SB,R,5,6,4,2
car,SB,T,26,25,39,42
car,SB,L,0,3,1,0
car,WB,Peds,5,5,0,1
car,WB,R,0,3,0,0
car,WB,T,11,10,9,7
car,WB,L,9,3,6,6
car,NB,Peds,3,4,4,6
car,NB,R,16,12,3,11
car,NB,T,64,64,61,70
car,NB,L,10,14,11,12
car,EB,Peds,6,4,9,8
car,EB,R,7,11,16,14
car,EB,T,49,47,34,29
car,EB,L,5,0,2,2
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,1,0,0,0
truck,SB,L,0,0,1,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,1,0,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,1,0
truck,NB,T,1,0,0,2
truck,NB,L,0,0,1,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,1,1,0
truck,EB,L,1,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,1
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,0,0,1
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,2,1
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,1,0,0,2
bicycle,EB,T,0,0,1,0
bicycle,EB,L,0,0,0,0
