vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,0,0,0,2,2,2,2,0,0
car,SB,R,2,0,2,0,2,1,2,1,0
car,SB,T,11,24,31,24,18,18,16,13,3
car,SB,L,0,2,1,0,1,0,0,1,0
car,WB,Peds,0,0,0,0,2,2,0,1,0
car,WB,R,1,0,0,0,1,1,2,2,0
car,WB,T,11,19,19,28,24,31,29,25,16
car,WB,L,2,8,4,3,2,5,2,6,1
car,NB,Peds,0,0,0,2,3,7,0,2,0
car,NB,R,0,6,4,4,7,4,4,2,1
car,NB,T,5,19,27,35,30,30,29,18,3
car,NB,L,27,29,30,44,37,49,45,38,12
car,EB,Peds,0,0,0,9,0,6,4,1,0
car,EB,R,22,55,43,55,56,28,46,47,14
car,EB,T,24,52,71,60,76,76,74,65,32
car,EB,L,2,2,6,8,7,5,0,5,3
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,1,0,0,0,0
truck,SB,T,0,2,2,1,1,3,0,2,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,3,3,1,4,3,0,4,2,0
truck,WB,L,1,2,1,1,2,1,2,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,1,2,1,2,4,1,3,1,0
truck,NB,T,0,0,0,0,2,1,1,0,0
truck,NB,L,4,2,5,2,3,2,3,2,2
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,1,4,5,4,4,1,3,0,1
truck,EB,T,6,6,4,6,9,4,9,3,1
truck,EB,L,0,0,1,0,0,3,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,0,0,0,1,0
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,1,1,0,0,1,1,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,1,0,0,0,0,0,0
bicycle,NB,T,0,1,0,0,0,0,0,0,0
bicycle,NB,L,0,1,0,1,1,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,1,0,0,0,2,0
bicycle,EB,T,0,0,0,1,0,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
