vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,8,46,18,3,28,3,8
car,SB,R,3,4,4,3,3,1,1
car,SB,T,29,35,37,33,43,26,9
car,SB,L,13,34,31,28,22,34,8
car,WB,Peds,9,7,8,6,18,9,4
car,WB,R,1,2,5,2,6,3,2
car,WB,T,17,32,38,39,27,36,12
car,WB,L,12,19,33,25,19,26,4
car,NB,Peds,1,21,11,5,12,8,0
car,NB,R,13,21,29,16,30,22,16
car,NB,T,20,31,34,32,30,26,14
car,NB,L,3,4,5,5,4,3,6
car,EB,Peds,3,15,7,2,5,5,0
car,EB,R,4,1,2,1,1,4,1
car,EB,T,47,65,73,69,57,69,28
car,EB,L,1,4,3,3,5,4,3
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,2,1,0,0,1,1
truck,SB,T,1,3,1,1,2,2,1
truck,SB,L,0,0,0,0,1,2,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,2,3,2,5,1,0,3
truck,WB,L,1,4,3,2,5,3,1
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,4,5,5,2,1,0
truck,NB,T,2,2,2,2,0,0,0
truck,NB,L,1,1,2,1,2,1,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,4,8,3,3,1,2,1
truck,EB,L,0,0,1,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,2,0,0,0,0,1,0
bicycle,SB,L,0,0,0,0,1,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,1,0,0
bicycle,WB,T,0,0,0,0,1,1,0
bicycle,WB,L,1,0,0,1,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,2,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,1,0
bicycle,NB,L,0,1,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,1,0,0,0,0
bicycle,EB,T,1,1,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0
