vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,0,0,0,0,0,0,0,0
car,SB,R,3,15,9,11,4,8,15,9
car,SB,T,24,38,22,33,36,35,42,22
car,SB,L,0,2,5,3,1,4,5,4
car,WB,Peds,0,0,0,0,0,0,0,0
car,WB,R,0,0,2,1,0,3,6,0
car,WB,T,25,35,32,43,47,50,51,31
car,WB,L,7,10,13,19,20,8,9,12
car,NB,Peds,0,0,0,0,0,0,0,0
car,NB,R,37,80,84,71,66,62,68,38
car,NB,T,30,71,49,88,72,68,72,40
car,NB,L,0,2,1,1,0,0,0,2
car,EB,Peds,0,0,0,0,0,0,0,0
car,EB,R,1,0,1,1,2,2,2,0
car,EB,T,40,46,72,67,87,70,70,38
car,EB,L,1,0,10,3,9,3,8,8
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0
truck,SB,T,0,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0
truck,WB,T,1,2,3,4,4,2,5,0
truck,WB,L,0,0,0,1,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,1,1,0
truck,NB,T,0,1,1,0,0,0,0,0
truck,NB,L,0,0,0,0,0,1,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0
truck,EB,T,2,6,5,4,6,4,4,3
truck,EB,L,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,1,0,1,0,2,0
bicycle,SB,L,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0
bicycle,WB,T,1,2,1,0,1,0,0,0
bicycle,WB,L,0,0,0,1,0,0,1,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,1,0,1,0,0,0,0
bicycle,NB,T,0,1,2,0,0,1,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,2,1,0,0,1
bicycle,EB,L,0,0,0,0,0,0,0,0
