vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,46,18,3,28
car,SB,R,4,4,3,3
car,SB,T,35,37,33,43
car,SB,L,34,31,28,22
car,WB,Peds,7,8,6,18
car,WB,R,2,5,2,6
car,WB,T,32,38,39,27
car,WB,L,19,33,25,19
car,NB,Peds,21,11,5,12
car,NB,R,21,29,16,30
car,NB,T,31,34,32,30
car,NB,L,4,5,5,4
car,EB,Peds,15,7,2,5
car,EB,R,1,2,1,1
car,EB,T,65,73,69,57
car,EB,L,4,3,3,5
truck,SB,Peds,0,0,0,0
truck,SB,R,2,1,0,0
truck,SB,T,3,1,1,2
truck,SB,L,0,0,0,1
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,3,2,5,1
truck,WB,L,4,3,2,5
truck,NB,Peds,0,0,0,0
truck,NB,R,4,5,5,2
truck,NB,T,2,2,2,0
truck,NB,L,1,2,1,2
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,8,3,3,1
truck,EB,L,0,1,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,1
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,1
bicycle,WB,T,0,0,0,1
bicycle,WB,L,0,0,1,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,1,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,1,0,0
bicycle,EB,T,1,0,0,0
bicycle,EB,L,0,0,0,0
