vehicleType,heading,dir,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15
car,SB,Peds,0,2,1,5
car,SB,R,0,1,0,4
car,SB,T,96,103,92,66
car,SB,L,3,3,7,10
car,WB,Peds,1,1,0,2
car,WB,R,4,1,3,2
car,WB,T,23,20,33,29
car,WB,L,33,18,28,16
car,NB,Peds,1,0,1,1
car,NB,R,1,13,0,7
car,NB,T,69,79,81,87
car,NB,L,17,12,22,15
car,EB,Peds,0,0,0,1
car,EB,R,1,0,2,2
car,EB,T,43,62,56,75
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,0,0,0,1
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,2
truck,WB,T,2,5,6,5
truck,WB,L,2,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,1
truck,NB,T,3,4,0,2
truck,NB,L,5,0,3,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,7,8,8,12
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,1,0,0,0
bicycle,SB,T,0,1,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,2,1,0,1
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,1
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,2,1
bicycle,EB,L,0,0,0,0
