vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,0,0,2,1,5,2,0,0
car,SB,R,0,0,1,0,4,0,5,3
car,SB,T,44,96,103,92,66,65,44,34
car,SB,L,4,3,3,7,10,5,9,2
car,WB,Peds,0,1,1,0,2,2,0,0
car,WB,R,1,4,1,3,2,2,6,2
car,WB,T,14,23,20,33,29,39,35,17
car,WB,L,12,33,18,28,16,22,27,14
car,NB,Peds,4,1,0,1,1,6,0,0
car,NB,R,2,1,13,0,7,2,10,1
car,NB,T,32,69,79,81,87,72,66,34
car,NB,L,8,17,12,22,15,10,13,8
car,EB,Peds,1,0,0,0,1,1,1,2
car,EB,R,1,1,0,2,2,2,1,0
car,EB,T,40,43,62,56,75,66,58,40
car,EB,L,0,0,0,0,0,0,1,0
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0
truck,SB,T,2,0,0,0,1,2,0,1
truck,SB,L,0,0,0,0,0,0,1,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,2,0,0,0
truck,WB,T,2,2,5,6,5,2,7,2
truck,WB,L,1,2,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,1,0,0,0
truck,NB,T,4,3,4,0,2,2,6,1
truck,NB,L,2,5,0,3,0,1,1,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0
truck,EB,T,5,7,8,8,12,8,9,5
truck,EB,L,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,1,0,0,0,0,0,0
bicycle,SB,T,0,0,1,0,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0
bicycle,WB,T,1,2,1,0,1,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,1,1,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,2,1,0,0,1
bicycle,EB,L,0,0,0,0,0,0,0,0
